Stock Code;Bar Code;Stock Description;Retail Price Incl.;Count
00-SCREW6777;6008741005357;NAD SCREW-IT WHITE 290ML;118.5;
0038;;WRENCH - ADJUSTABLE 150M;44.7;
0042;;WRENCH - 250MM ADJUSTABLE ZEL;59;
0047;;SANDING BELT - 100X610X60GT;15.6;
0056;;MOULDING - ARCH S/W ARCH4S;94.8;
0057;;MOULDING - ARCH S/W ARCH1S;178.1;
0058;;MOULDING - ARCH S/W ARCH3S;171.1;
0060;;MOULDING - CORNICE S/W CR1S;106.3;
0062;;MOULDING - ARCH PINE ARCH4P;85.8;
0064;;MOULDING - CORNICE PINE CR2P;142.9;
02210400;6002065011506;ABE SUPER LAYKOLD SPRAY & SEAL 400M;176.5;
0271-1;;EPT PLASTIC BOTTLE + CAP;163;
0400;;ALN SKI ROPE 10MMX15MT;35;
0567;;EPT PREVAL SPRAYER WITH GLASS JAR;111;
0568;;EPT PREVAL SPRAYER REFILL;85.5;
10001;;PT GARDENA H/N SPRAY/STOP SET;67.4;
1005;;C/S HAMMERTONE QD CHARCOAL 1LT;95;
10100;;DEK QD SPECIFIRE RED 5LT;368.5;
101002BOX;;PL POLYCELL POLYFILLA 2KG (BOX);0;
10101;;LS QD KANPER CEM/TRUCK YELLOW 20LT;1150;
10110;;LS QD XF SKY BLUE 5LT;313.5;
10111;;PMB IND/LAC SEA MIST 5LT;365;
10113;;NAA LLEW BRIAN BURGANDY STAIN;1037;
10114;;PMB W/B VACUME DESIGNER NATURAL 25LT;207;
10115;;DEK QD PASTEL BASE 20LT;1221.5;
10116;;NTOMBI WHITE PVA 20LT;331.4;
10117;;DEKAFLOOR HIGH SHEEN GREY 5LT;655;
10118;;LS QD JUPIDEX ALPLER RED 5LT;391;
10119;;LS QD JUPIDEX ALPLER WHITE 5LT;304.5;
10120;;LS QD JUPIDEX ALPLER GREY 5LT;279;
10121;;LS QD JUPIDEX RAL9005 5LT;263;
10122;6008558034786;DEK QD ACTION ALKYD FIRE RED 5LT;257.5;
10123;SEB5;RYSTIX EXT SEALER EBONY 5LT;654;
10125;;ARBORCOAT C/S 10 CHERRY 5LT;193;
10128;;PL IAC LEMON CHROME 5LT;1772.5;
10129;;PL IAC PHTHALO GREEN 5LT;852;
10130;;PL IAC BRIGHT RED 5LT;1230.5;
10131;;PL IAC BLACK 5LT;540.5;
10132;;PL IAC MAROON TONER 5LT;984;
10133;;PL IAC PHTHALO BLUE 5LT;1197.5;
10134;;PL IAC RED OXIDE 5LT;1033;
10135;;PL IAC SCARLET CHROME 5LT;2298;
10136;;PL IAC ULTRAMARINE BLUE 5LT;1805;
10137;;PL IAC VIOLET 5LT;3776;
10138;;PL IAC WHITE 5LT;984;
10139;;PL IAC YELLOW OXIDE 5LT;984;
10140;;PL IAC MID CHROME 5LT;1641;
10148;6004765183095;POLY-PILE REFILL 225MM;38.5;
10150;;CURTAIN PINE POLE 1MT;32.7;
10151;;CURTAIN PINE POLE 1.5MT;72.5;
